DateTime,AddedIPs,RemovedIPs
1584527032,102,118
1584537779,92,116
1584548670,80,126
1584559323,96,89
1584570165,53,73
1584580926,40,84
1584591774,45,61
1584602462,40,75
1584613171,11,82
1584623914,14,73
1584634681,12,63
1584645419,3,69
1584656184,4,73
1584666882,1,74
1584677661,3,55
1584688372,25,87
1584699192,98,79
1584709985,71,81
1584720802,78,71
1584731589,56,68
1584742412,61,67
1584753226,68,73
1584764055,56,12
1584774879,62,59
1584785655,51,60
1584796416,54,112
1584807231,44,31
1584817967,26,65
1584828776,8,69
1584839465,31,73
1584850345,95,50
1584861236,173,72
1584872065,139,73
1584882946,119,92
1584895095,124,55
1584904596,86,62
1584915487,104,53
1584926268,83,94
1584937062,86,64
1584947851,89,90
1584958641,93,76
1584969513,50,86
1584980140,4,68
1584990865,7,88
1585001612,2,89
1585012347,6,85
1585023160,4,88
1585033774,8,114
1585044461,82,194
1585055120,230,362
1585066003,173,54
1585076900,133,40
1585087819,145,15
1585098772,160,18
1585109659,125,23
1585120509,102,43
1585131364,105,56
1585142139,55,71
1585153013,132,53
1585163759,4,89
1585174474,4,101
1585185306,58,79
1585195991,68,121
1585206694,90,192
1585217534,109,52
1585228370,65,29
1585239313,93,25
1585250105,74,4
1585260938,51,8
1585271786,45,3
1585282587,17,2
1585293369,4,10
1585304060,8,69
1585314837,14,58
1585325671,54,51
1585336444,45,43
1585347243,39,65
1585357967,18,70
1585368715,4,67
1585379422,14,96
1585390186,61,111
1585400916,78,126
1585411697,89,167
1585422463,95,107
1585433323,85,25
1585444131,6,13
1585454979,35,68
1585465645,46,62
1585476433,36,49
1585487200,33,57
1585498037,54,57
1585508785,22,56
1585519560,5,64
1585530359,56,66
1585541207,143,82
1585552052,142,84
1585562906,121,96
1585573701,115,63
1585584589,106,5
1585595464,101,3
1585606358,113,6
1585617218,74,8
1585628075,73,6
1585638907,75,8
1585649762,95,29
1585660558,74,78
1585671424,57,76
1585682141,57,60
1585692894,20,81
1585703636,3,98
1585714326,3,108
1585725069,29,92
1585735786,59,122
1585746557,73,100
1585757347,62,101
1585768191,44,3
1585779033,47,4
1585789818,52,50
1585800618,55,48
1585811408,53,53
1585822184,69,98
1585832995,61,77
1585843777,60,73
1585854543,50,64
1585865319,41,85
1585876076,43,95
1585886951,32,46
1585897719,63,3
1585908598,113,9
1585919457,68,30
1585930299,63,36
1585941097,87,46
1585952005,83,37
1585962820,54,19
1585973690,71,4
1585984592,108,10
1585995439,95,38
1586006257,75,40
1586017055,57,54
1586027827,77,70
1586038626,56,78
1586049478,64,9
1586060322,79,25
1586071146,73,25
1586082005,83,23
1586092845,67,28
1586103776,61,21
1586114485,62,7
1586125412,97,6
1586136274,89,18
1586147118,69,47
1586158037,84,61
1586168729,83,70
1586179524,47,69
1586190353,60,62
1586201182,91,73
1586212839,101,87
1586222907,100,73
1586233670,52,61
1586244446,51,71
1586255235,48,102
1586266066,14,91
1586276738,75,110
1586287508,53,136
1586298407,114,38
1586309236,32,4
1586320021,3,5
1586330780,2,30
1586341532,3,43
1586352336,31,45
1586363119,45,53
1586373968,58,32
1586384813,57,41
1586395646,70,44
1586406523,144,27
1586417318,52,58
1586428192,132,72
1586439119,144,51
1586449956,135,51
1586460956,216,66
1586471989,198,73
1586482889,98,53
1586493640,81,45
1586504496,100,50
1586515344,100,71
1586526258,100,51
1586537119,13,44
1586547844,75,39
1586558580,21,78
1586569338,4,54
1586580077,7,63
1586590940,39,71
1586601728,116,87
1586612586,147,80
1586623473,123,53
1586634369,132,77
1586645418,157,74
1586656143,93,95
1586667068,157,71
1586677977,165,69
1586689018,259,77
1586700087,234,105
1586714570,237,77
1586729198,268,117
1586743666,191,142
1586758120,176,133
1586772722,189,160
1586787212,281,145
1586801909,426,133
1586816719,499,194
1586831280,288,191
1586845740,138,202
1586860162,196,103
1586874646,76,31
1586888973,10,73
1586903253,6,118
1586917652,9,116
1586931976,4,3
1586946391,28,3
1586960803,57,23
1586975144,12,53
1586992772,41,66
1587007696,207,122
1587022346,265,75
1587036892,246,106
1587051279,116,128
1587065681,66,160
1587079944,135,262
1587094196,108,175
1587108560,154,210
1587123064,292,239
1587137591,337,230
1587152336,366,68
1587167204,384,20
1587181954,302,13
1587196633,281,23
1587211313,310,106
1587229631,375,131
1587248195,586,141
1587266739,465,112
1587285461,474,153
1587303506,554,255
1587321862,528,265
1587340296,530,256
1587358613,412,257
1587376918,371,213
1587398875,491,172
1587420616,542,437
1587442217,548,570
1587464017,470,333
1587485976,570,277
1587508453,666,12
1587530838,601,16
1587553100,560,14
1587579051,588,71
1587605150,802,43
1587630879,596,170
1587656514,637,276
1587682357,639,182
1587708063,523,140
1587737362,559,203
1587766574,627,327
1587795824,727,397
1587824449,165,366
1587852973,193,394
1587881806,533,568
1587910112,126,442
1587938160,0,539
1587962532,0,662
1587987075,0,521
1588011504,0,588
1588035669,0,784
1588060189,0,602
1588081050,0,501
1588101931,0,574
1588122550,0,782
1588143200,0,730
1588160467,0,604
1588177663,0,667
1588194659,0,874
1588211419,0,1017
1588225020,0,672
1588239124,0,368
1588252867,0,411
1588266840,0,373
1588280619,0,522
1588294387,0,463
1588304786,0,341
1588315144,0,341
1588325456,0,410
1588335736,0,438
1588346795,0,406
1588356306,0,524
1588366175,0,776
1588372859,0,524
1588379481,0,541
1588386004,0,669
1588392997,0,267
1588400086,0,85
1588407183,0,91
1588414283,0,104
1588421345,0,157
1588428357,0,189
1588435210,0,349
1588441952,0,499
1588445310,0,245
1588448667,0,238
1588451958,0,334
1588455173,0,350
1588458445,0,388
1588461665,0,361
1588465012,0,378
1588468304,0,380
1603076208,16,175
1603080004,8,0
1603083605,15,0
1603087207,10,0
1603090808,8,0
1603094409,10,0
1603098009,4,0
1603101610,3,0
1603105210,8,0
1603108810,4,0
1603112413,10,0
1603116011,4,0
1603119613,4,0
